Player Full Name,PlayersID,Birth Date,Year Start,Year End,POS,Height (ft),Height (in),Height (cm),HeightwithoutShoes,Wingspan (cm),Standing Reach (cm),Hand Length (inches),Hand Lenght(cm),Hand Width (inches),Hand Width (cm),Weight (lb),Weight (kg),Body Fat (%),College,LaneAgilityTime_sec,ShuttleRun_sec,3quartersprint_sec,StandingVerticalLeap_inches,MaxVerticalLeap_inches,MaxBenchPress_reps,StandingVerticalLeap_cm,MaxVerticalLeap_cm
Chuck Terry,3477,27/09/1950,1973,1977,F,6,6,198.12,195.12,,,,,,,215,97.52235955,,"California State University, Long Beach",,,,,,,,
Chuck Williams,3478,06/06/1946,1971,1978,G,6,2,187.96,184.96,,,,,,,175,79.37866475,,University of Colorado,,,,,,,,
Chuckie Williams,3479,31/12/1953,1977,1977,G,6,3,190.5,187.5,,,,,,,180,81.6466266,,Kansas State University,,,,,,,,
Chucky Brown,3480,29/02/1968,1990,2002,F,6,7,200.66,197.66,,,,,,,214,97.06876718,,North Carolina State University,,,,,,,,
Chuma Okeke,3481,,,,SF,6,8,203,200,213,262,,,,0,229.2807527,104,,,,,,,,,,
Cincinnatus Powell,3482,25/02/1942,1968,1975,F-C,6,7,200.66,197.66,,,,,,,220,99.7903214,,University of Portland,,,,,,,,
Clarence Brookins,3485,1899-12-31,1971,1971,F,6,4,193.04,190.04,,,,,,,190,86.1825503,,Temple University,,,,,,,,
Clarence Glover,3486,01/11/1947,1972,1972,F,6,8,203.2,200.2,,,,,,,210,95.2543977,,Western Kentucky University,,,,,,,,
Clarence Kea,3487,02/02/1959,1981,1982,F,6,6,198.12,195.12,,,,,,,218,98.88313666,,Lamar University,,,,,,,,
Clarence Weatherspoon,3488,08/09/1970,1993,2005,F,6,6,198.12,195.12,,,,,,,240,108.8621688,,University of Southern Mississippi,,,,,,,,
Clark Kellogg,3489,02/07/1961,1983,1987,F,6,7,200.66,197.66,,,,,,,225,102.0582833,,Ohio State University,,,,,,,,
Claude English,3490,26/12/1946,1971,1971,F,6,4,193.04,190.04,,,,,,,185,83.91458845,,University of Rhode Island,,,,,,,,
Claude Gregory,3491,26/12/1958,1986,1988,F,6,8,203.2,200.2,,,,,,,205,92.98643585,,University of Wisconsin,,,,,,,,
Claude Overton,3492,16/12/1927,1953,1953,G,6,2,187.96,184.96,,,,,,,195,88.45051215,,East Central University,,,,,,,,
Claude Terry,3493,12/01/1950,1973,1978,G-F,6,4,193.04,190.04,,,,,,,195,88.45051215,,Stanford University,,,,,,,,
Claude Virden,3494,25/11/1947,1973,1973,F,6,6,198.12,195.12,,,,,,,195,88.45051215,,Murray State University,,,,,,,,
Clay Johnson,3495,18/07/1956,1982,1984,G,6,4,193.04,190.04,,,,,,,175,79.37866475,,University of Missouri,,,,,,,,
Clem Haskins,3496,11/07/1943,1968,1976,G,6,3,190.5,187.5,,,,,,,195,88.45051215,,Western Kentucky University,,,,,,,,
Clemon Johnson,3497,12/09/1956,1979,1988,C-F,6,10,208.28,205.28,,,,,,,240,108.8621688,,Florida Agricultural and Mechanical University,,,,,,,,
Cleo Hill,3498,24/05/1938,1962,1962,G,6,1,185.42,182.42,,,,,,,185,83.91458845,,Winston-Salem State University,,,,,,,,
Cleveland Buckner,3499,17/08/1938,1962,1963,F-C,6,9,205.74,202.74,,,,,,,210,95.2543977,,Jackson State University,,,,,,,,
Cliff Anderson,3500,07/09/1944,1968,1971,G-F,6,2,187.96,184.96,,,,,,,200,90.718474,,Saint Joseph's University,,,,,,,,
Cliff Barker,3501,15/01/1921,1950,1952,G,6,2,187.96,184.96,,,,,,,185,83.91458845,,University of Kentucky,,,,,,,,
Cliff Hagan,3502,09/12/1931,1957,1970,F-G,6,4,193.04,190.04,,,,,,,210,95.2543977,,University of Kentucky,,,,,,,,
Cliff Levingston,3503,04/01/1961,1983,1995,F,6,8,203.2,200.2,,,,,,,210,95.2543977,,Wichita State University,,,,,,,,
Cliff Meely,3504,10/07/1947,1972,1976,F-C,6,8,203.2,200.2,,,,,,,215,97.52235955,,University of Colorado,,,,,,,,
Cliff Pondexter,3505,15/09/1954,1976,1978,F-C,6,9,205.74,202.74,,,,,,,233,105.6870222,,"California State University, Long Beach",,,,,,,,
Cliff Robinson,3506,13/03/1960,1980,1992,F,6,9,205.74,202.74,,,,,,,220,99.7903214,,University of Southern California,,,,,,,,
Cliff Williams,3507,15/04/1945,1969,1969,G,6,3,190.5,187.5,,,,,,,180,81.6466266,,Bowling Green State University,,,,,,,,
Clifford Lett,3508,23/12/1965,1990,1991,G,6,3,190.5,187.5,,,,,,,170,77.1107029,,University of Florida,,,,,,,,
Clifford Ray,3509,21/01/1949,1972,1981,C,6,9,205.74,202.74,,,,,,,230,104.3262451,,University of Oklahoma,,,,,,,,
Clifford Rozier,3510,31/10/1972,1995,1998,C-F,6,11,210.82,207.82,,,,,,,245,111.1301307,,University of Louisville,,,,,,,,
Clint McDaniel,3511,26/02/1972,1996,1996,G,6,4,193.04,190.04,,,,,,,180,81.6466266,,University of Arkansas,,,,,,,,
Clint Richardson,3512,07/08/1956,1980,1987,G,6,3,190.5,187.5,,,,,,,195,88.45051215,,Seattle University,,,,,,,,
Clint Wager,3513,20/01/1920,1950,1950,C-F,6,6,198.12,195.12,,,,,,,210,95.2543977,,Saint Mary's University of Minnesota,,,,,,,,
Clinton Smith,3514,19/01/1964,1987,1991,F,6,6,198.12,195.12,,,,,,,210,95.2543977,,Cleveland State University,,,,,,,,
Clinton Wheeler,3515,27/10/1959,1988,1989,G,6,1,185.42,182.42,,,,,,,185,83.91458845,,William Paterson University,,,,,,,,
Clyde Dickey,3516,14/12/1951,1975,1975,G,6,3,190.5,187.5,,,,,,,185,83.91458845,,Boise State University,,,,,,,,
Clyde Drexler,3517,22/06/1962,1984,1998,G,6,7,200.66,197.66,,,,,,,210,95.2543977,,University of Houston,,,,,,,,
Clyde Lee,3518,14/03/1944,1967,1976,F-C,6,10,208.28,205.28,,,,,,,205,92.98643585,,Vanderbilt University,,,,,,,,
Clyde Lovellette,3519,07/09/1929,1954,1964,C-F,6,9,205.74,202.74,,,,,,,234,106.1406146,,University of Kansas,,,,,,,,
Clyde Mayes,3520,17/03/1953,1976,1977,F,6,8,203.2,200.2,,,,,,,225,102.0582833,,Furman University,,,,,,,,
Coby Dietrick,3521,23/07/1948,1971,1983,C-F,6,10,208.28,205.28,,,,,,,220,99.7903214,,San Jose State University,,,,,,,,
Collis Jones,3522,03/07/1949,1972,1975,F,6,7,200.66,197.66,,,,,,,203,92.07925111,,University of Notre Dame,,,,,,,,
Collis Temple,3523,08/11/1952,1975,1975,F,6,8,203.2,200.2,,,,,,,220,99.7903214,,Louisiana State University,,,,,,,,
Colton Iverson,3524,,,,C,7,0,213,210,220,279,9.249999991,23.495,,24.13,262.8,119.2040748,0.096,,11.52,3.04,3.52,26.5,30,12,67.31,
Conner Henry,3525,21/07/1963,1987,1988,G,6,7,200.66,197.66,,,,,,,195,88.45051215,,"University of California, Santa Barbara",,,,,,,,
Connie Dierking,3526,02/10/1936,1959,1971,C-F,6,9,205.74,202.74,,,,,,,222,100.6975061,,University of Cincinnati,,,,,,,,
Connie Hawkins,3527,17/07/1942,1968,1976,F-C,6,8,203.2,200.2,,,,,,,210,95.2543977,,University of Iowa,,,,,,,,
Connie Norman,3528,24/09/1953,1975,1979,G,6,3,190.5,187.5,,,,,,,175,79.37866475,,University of Arizona,,,,,,,,
Connie Rea,3529,27/01/1935,1954,1954,G-F,6,3,190.5,187.5,,,,,,,175,79.37866475,,Centenary College of Louisiana,,,,,,,,
Connie Simmons,3530,15/03/1925,1947,1956,C-F,6,8,203.2,200.2,,,,,,,222,100.6975061,,,,,,,,,,
Cookie Belcher,3531,,,,G,6,4.5,194,191,204,251,,,,0,206,93.44002822,0.053,,11.26,,2.91,35,41.5,7,88.9,105.41
Cordell Henry,3532,,,,PG,5,9.5,176,173,185,234,,,,0,155,70.30681735,,,11.3,,3.04,33,37.5,1,83.82,95.25
Corey Beck,3533,27/05/1971,1996,1999,G,6,1,185.42,182.42,,,,,,,190,86.1825503,,University of Arkansas,,,,,,,,
Corey Benjamin,3534,24/02/1978,1999,2003,G,6,6,198.12,195.12,,,,,,,200,90.718474,,Oregon State University,,,,,,,,
Corey Crowder,3535,13/04/1969,1992,1995,G-F,6,5,195.58,192.58,,,,,,,214,97.06876718,,Kentucky Wesleyan College,,,,,,,,
Corey Gaines,3536,01/06/1965,1989,1995,G,6,3,190.5,187.5,,,,,,,195,88.45051215,,Loyola Marymount University,,,,,,,,
Corky Calhoun,3537,01/11/1950,1973,1980,F,6,7,200.66,197.66,,,,,,,210,95.2543977,,University of Pennsylvania,,,,,,,,
Corky Devlin,3538,21/12/1931,1956,1958,G,6,5,195.58,192.58,,,,,,,195,88.45051215,,George Washington University,,,,,,,,
Cornelius Cash,3539,03/03/1952,1977,1977,F,6,8,203.2,200.2,,,,,,,215,97.52235955,,Bowling Green State University,,,,,,,,
Cornell Warner,3540,12/08/1948,1971,1977,F-C,6,9,205.74,202.74,,,,,,,220,99.7903214,,Jackson State University,,,,,,,,
Corny Thompson,3541,05/02/1960,1983,1983,F,6,8,203.2,200.2,,,,,,,225,102.0582833,,University of Connecticut,,,,,,,,
Cory Blackwell,3542,27/03/1963,1985,1985,F,6,6,198.12,195.12,,,,,,,210,95.2543977,,University of Wisconsin,,,,,,,,
Cory Carr,3543,05/12/1975,1999,1999,G,6,3,190.5,187.5,,,,,,,210,95.2543977,,Texas Tech University,,,,,,,,
Cory Hightower,3544,,,,SF,6,6.5,199,196,211,258,,,,0,183,83.00740371,,,11.92,,3.37,29.5,34.5,,74.93,87.63
Cotton Nash,3545,24/07/1942,1965,1968,F,6,5,195.58,192.58,,,,,,,215,97.52235955,,University of Kentucky,,,,,,,,
Coulby Gunther,3546,05/02/1923,1947,1949,F,6,4,193.04,190.04,,,,,,,190,86.1825503,,Boston College,,,,,,,,
Cozell McQueen,3547,18/01/1962,1987,1987,F,6,11,210.82,207.82,,,,,,,235,106.594207,,North Carolina State University,,,,,,,,
Craig Bradshaw,3548,,,,PF,6,9.5,207,203,217,271,,,,0,240,108.8621688,0.121,,11.88,,3.54,26,28,12,66.04,
Craig Dawson,3549,,,,SG,6,4.75,195,192,199,259,,,,0,200,90.718474,,,12.06,,3.25,26,30,,66.04,
Craig Dill,3550,17/12/1944,1968,1968,C,6,11,210.82,207.82,,,,,,,215,97.52235955,,University of Michigan,,,,,,,,
Craig Dykema,3551,11/06/1959,1982,1982,F,6,8,203.2,200.2,,,,,,,190,86.1825503,,"California State University, Long Beach",,,,,,,,
Craig Ehlo,3552,11/08/1961,1984,1997,G-F,6,6,198.12,195.12,,,,,,,180,81.6466266,,Washington State University,,,,,,,,
Craig Hodges,3553,27/06/1960,1983,1992,G,6,2,187.96,184.96,,,,,,,190,86.1825503,,"California State University, Long Beach",,,,,,,,
Craig Neal,3554,16/02/1964,1989,1991,G,6,5,195.58,192.58,,,,,,,165,74.84274105,,Georgia Institute of Technology,,,,,,,,
Craig Raymond,3555,05/04/1945,1969,1973,C,6,11,210.82,207.82,,,,,,,235,106.594207,,Brigham Young University,,,,,,,,
Craig Shelton,3556,01/05/1957,1981,1982,F,6,7,200.66,197.66,,,,,,,210,95.2543977,,Georgetown University,,,,,,,,
Craig Spitzer,3557,18/12/1945,1968,1968,C,7,0,213.36,210.36,,,,,,,225,102.0582833,,Tulane University,,,,,,,,
Cuonzo Martin,3558,23/09/1971,1996,1997,G-F,6,5,195.58,192.58,,,,,,,213,96.61517481,,Purdue University,,,,,,,,
Curly Armstrong,3559,01/11/1918,1949,1951,G-F,5,11,180.34,177.34,,,,,,,170,77.1107029,,Indiana University,,,,,,,,
Curtis Kitchen,3560,30/01/1964,1987,1987,F,6,9,205.74,202.74,,,,,,,235,106.594207,,University of South Florida,,,,,,,,
Curtis Perry,3561,13/09/1948,1971,1978,F,6,7,200.66,197.66,,,,,,,220,99.7903214,,Missouri State University,,,,,,,,
Curtis Rowe,3562,02/07/1949,1972,1979,F,6,7,200.66,197.66,,,,,,,225,102.0582833,,"University of California, Los Angeles",,,,,,,,
Curtis Stinson,3563,,,,SG,6,2.75,190,188,195,248,,,,0,208,94.34721296,0.06,,10.95,,3.27,28,31.5,17,71.12,80.01
Curtis Withers,3564,,,,F,6,6.5,199,198,209,257,,,,0,227,102.965468,0.05,,11.54,,3.1,35,36.5,14,88.9,92.71
D.C. Wilcutt,3565,25/03/1923,1949,1950,G,6,2,187.96,184.96,,,,,,,165,74.84274105,,Saint Louis University,,,,,,,,
D.J. Strawberry,3566,15/06/1985,2008,2008,G,6,5,195.58,192.58,,,,,,,201,91.17206637,,University of Maryland,,,,,,,,
Dale Ellis,3567,06/08/1960,1984,2000,G-F,6,7,200.66,197.66,,,,,,,205,92.98643585,,University of Tennessee,,,,,,,,
Dale Hamilton,3568,16/08/1919,1950,1950,G-F,6,0,182.88,179.88,,,,,,,180,81.6466266,,Franklin College,,,,,,,,
Dale Schlueter,3569,12/11/1945,1969,1978,C,6,10,208.28,205.28,,,,,,,225,102.0582833,,Colorado State University,,,,,,,,
Dale Wilkinson,3570,18/03/1960,1985,1985,F,6,10,208.28,205.28,,,,,,,220,99.7903214,,Idaho State University,,,,,,,,
Dalibor Bagaric,3571,07/02/1980,2001,2003,C,7,1,215.9,212.9,,,,,,,255,115.6660544,,,,,,,,,,
Dallas Comegys,3572,17/08/1964,1988,1989,F,6,9,205.74,202.74,,,,,,,205,92.98643585,,DePaul University,,,,,,,,
Dallas Thornton,3573,01/09/1946,1969,1970,G,6,4,193.04,190.04,,,,,,,190,86.1825503,,Kentucky Wesleyan College,,,,,,,,
Damon Hancock,3574,,,,PG,6,4,193,190,198,253,,,,0,203,92.07925111,,,11.62,,3.03,32,35,15,81.28,88.9
Damon Reed,3575,,,,PF,6,9.5,207,204,206,266,,,,0,228,103.4190604,,,11.21,,3.31,27.5,31.5,4,69.85,
Damone Thornton,3576,,,,PF,6,8,203,200,218,264,,,,0,235,106.594207,0.08,,11.17,,3.2,33.5,37.5,19,85.09,95.25
Dan Anderson Jr.,3577,,1975,1976,G,6,2,187.96,184.96,,,,,,,185,83.91458845,,University of Southern California,,,,,,,,
Dan Anderson,3578,15/02/1943,1968,1969,C,6,10,208.28,205.28,,,,,,,230,104.3262451,,Augsburg College,,,,,,,,
Dan Godfread,3579,14/06/1967,1991,1992,C,6,10,208.28,205.28,,,,,,,250,113.3980925,,University of Evansville,,,,,,,,
Dan Hester,3580,08/11/1948,1971,1971,F,6,8,203.2,200.2,,,,,,,210,95.2543977,,Louisiana State University,,,,,,,,
Dan Issel,3581,25/10/1948,1971,1985,C-F,6,9,205.74,202.74,,,,,,,235,106.594207,,University of Kentucky,,,,,,,,
Dan King,3582,07/01/1931,1955,1955,F,6,6,198.12,195.12,,,,,,,220,99.7903214,,Western Kentucky University,,,,,,,,
Dan Kraus,3583,13/02/1923,1949,1949,G,6,0,182.88,179.88,,,,,,,195,88.45051215,,Georgetown University,,,,,,,,
Dan Majerle,3584,09/09/1965,1989,2002,G-F,6,6,198.12,195.12,,,,,,,215,97.52235955,,Central Michigan University,,,,,,,,
Dan McClintock,3585,19/04/1977,2001,2001,C,7,0,213.36,211,217.17,271.78,,,,0,270,113.3980925,,Northern Arizona University,11.52,,3.33,33,35,20,83.82,88.9
Dan O'Sullivan,3586,03/03/1968,1991,1996,C,6,10,208.28,205.28,,,,,,,250,113.3980925,,Fordham University,,,,,,,,
Dan Roundfield,3587,26/05/1953,1976,1987,F-C,6,8,203.2,200.2,,,,,,,205,92.98643585,,Central Michigan University,,,,,,,,
Dan Swartz,3588,23/12/1934,1963,1963,F,6,4,193.04,190.04,,,,,,,215,97.52235955,,Morehead State University,,,,,,,,
Dan Tieman,3589,30/11/1940,1963,1963,G,6,0,182.88,179.88,,,,,,,185,83.91458845,,Thomas More College,,,,,,,,
Dana Pagett,3590,29/03/1949,1972,1972,G,6,2,187.96,184.96,,,,,,,180,81.6466266,,University of Southern California,,,,,,,,
Dane Suttle,3591,09/08/1961,1984,1985,G,6,3,190.5,187.5,,,,,,,190,86.1825503,,Pepperdine University,,,,,,,,
Daniel Horton,3592,,,,G,6,2.5,189,184,201,245,,,,0,198,89.81128926,0.08,,10.35,,3.16,30,36.5,17,76.2,92.71
Daniel Sparks,3593,17/04/1945,1969,1970,F,6,8,203.2,200.2,,,,,,,200,90.718474,,Weber State University,,,,,,,,
Danilo Pinnock,3594,,,,G,6,4.5,194,190,202,255,,,,0,204,92.53284348,0.046,,11.91,,3.08,29.5,35.5,7,74.93,90.17
Danny Ainge,3595,17/03/1959,1982,1995,G,6,4,193.04,190.04,,,,,,,175,79.37866475,,Brigham Young University,,,,,,,,
Danny Doyle,3596,06/02/1940,1963,1963,F,6,8,203.2,200.2,,,,,,,200,90.718474,,Belmont Abbey College,,,,,,,,
Danny Ferry,3597,17/10/1966,1991,2003,F,6,10,208.28,205.28,,,,,,,230,104.3262451,,Duke University,,,,,,,,
Danny Finn,3598,29/05/1928,1953,1955,G,6,1,185.42,182.42,,,,,,,185,83.91458845,,St. John's University,,,,,,,,
Danny Manning,3599,17/05/1966,1989,2003,F-C,6,10,208.28,205.28,,,,,,,230,104.3262451,,University of Kansas,,,,,,,,
Danny Schayes,3600,10/05/1959,1982,1999,C-F,6,11,210.82,207.82,,,,,,,235,106.594207,,Syracuse University,,,,,,,,
Danny Vranes,3601,29/10/1958,1982,1988,F,6,7,200.66,197.66,,,,,,,210,95.2543977,,University of Utah,,,,,,,,
Danny Wagner,3602,01/08/1922,1950,1950,G,6,0,182.88,179.88,,,,,,,170,77.1107029,,University of Texas at Austin,,,,,,,,
Danny Young,3603,26/07/1962,1985,1995,G,6,3,190.5,187.5,,,,,,,175,79.37866475,,Wake Forest University,,,,,,,,
Darel Carrier,3604,26/10/1940,1968,1973,G,6,3,190.5,187.5,,,,,,,185,83.91458845,,Western Kentucky University,,,,,,,,
Darnell Hillman,3605,29/08/1949,1972,1980,F-C,6,9,205.74,202.74,,,,,,,215,97.52235955,,San Jose State University,,,,,,,,
Darnell Mee,3606,11/02/1971,1994,1995,G,6,5,195.58,192.58,,,,,,,175,79.37866475,,Western Kentucky University,,,,,,,,
Darnell Valentine,3607,03/02/1959,1982,1991,G,6,1,185.42,182.42,,,,,,,183,83.00740371,,University of Kansas,,,,,,,,
Darrall Imhoff,3608,11/10/1938,1961,1972,C,6,10,208.28,205.28,,,,,,,220,99.7903214,,University of California,,,,,,,,
Darrell Allums,3609,12/09/1958,1981,1981,F,6,9,205.74,202.74,,,,,,,220,99.7903214,,"University of California, Los Angeles",,,,,,,,
Darrell Brown,3610,14/03/1923,1949,1949,F,6,2,187.96,184.96,,,,,,,175,79.37866475,,Humboldt State University,,,,,,,,
Darrell Elston,3611,15/08/1952,1975,1977,G,6,4,193.04,190.04,,,,,,,190,86.1825503,,University of North Carolina,,,,,,,,
Darrell Griffith,3612,16/06/1958,1981,1991,G,6,4,193.04,190.04,,,,,,,190,86.1825503,,University of Louisville,,,,,,,,
Darrell Hardy,3613,1899-12-31,1968,1968,F,6,7,200.66,197.66,,,,,,,220,99.7903214,,Baylor University,,,,,,,,
Darrell Johns,3614,,,,C,7,0.5,215,212,226,283,,,,0,278,126.0986789,0.191,,12.41,,3.59,23.5,30,18,59.69,
Darrell Lockhart,3615,14/09/1960,1984,1984,C,6,9,205.74,202.74,,,,,,,245,111.1301307,,Auburn University,,,,,,,,
Darrell Walker,3616,09/03/1961,1984,1993,G,6,4,193.04,190.04,,,,,,,180,81.6466266,,University of Arkansas,,,,,,,,
Darren Daye,3617,30/11/1960,1984,1988,F-G,6,8,203.2,200.2,,,,,,,220,99.7903214,,"University of California, Los Angeles",,,,,,,,
Darren Kelly,3618,,,,G,6,3.25,191,188,200,254,,,,0,178,80.73944186,0.067,,11.38,,3.21,30.5,34.5,1,77.47,87.63
Darren Morningstar,3619,22/04/1969,1994,1994,C,6,10,208.28,205.28,,,,,,,235,106.594207,,University of Pittsburgh,,,,,,,,
Darren Tillis,3620,23/02/1960,1983,1984,C-F,6,11,210.82,207.82,,,,,,,215,97.52235955,,Cleveland State University,,,,,,,,
Darrin Hancock,3621,03/11/1971,1995,1997,G-F,6,7,200.66,197.66,,,,,,,205,92.98643585,,University of Kansas,,,,,,,,
Darryl Dawkins,3622,11/01/1957,1976,1989,C,6,11,210.82,207.82,,,,,,,251,113.8516849,,,,,,,,,,
Darryl Johnson,3623,26/10/1965,1996,1996,G,6,1,185.42,182.42,,,,,,,170,77.1107029,,Michigan State University,,,,,,,,
Darwin Cook,3624,06/08/1958,1981,1989,G,6,3,190.5,187.5,,,,,,,184,83.46099608,,University of Portland,,,,,,,,
Daryl Dorsey,3625,,,,PG,6,0.5,184,181,182,239,,,,0,160.8,72.9376531,,,11.41,,3.24,25,30.5,,63.5,
DaShaun Wood,3626,,,,PG,5,11.75,182,180,185,234,,,,0,167,75.74992579,0.054,,11.4,,3.23,31.5,34.5,13,80.01,87.63
Dave Batton,3627,26/03/1956,1983,1984,C,6,10,208.28,205.28,,,,,,,240,108.8621688,,University of Notre Dame,,,,,,,,
Dave Bing,3628,24/11/1943,1967,1978,G,6,3,190.5,187.5,,,,,,,180,81.6466266,,Syracuse University,,,,,,,,
Dave Britton,3629,29/08/1958,1981,1981,G,6,4,193.04,190.04,,,,,,,180,81.6466266,,Texas A&M University,,,,,,,,
Dave Budd,3630,28/10/1938,1961,1965,F,6,6,198.12,195.12,,,,,,,205,92.98643585,,Wake Forest University,,,,,,,,
Dave Corzine,3631,25/04/1956,1979,1991,C,6,11,210.82,207.82,,,,,,,250,113.3980925,,DePaul University,,,,,,,,
Dave Cowens,3632,25/10/1948,1971,1983,C-F,6,9,205.74,202.74,,,,,,,230,104.3262451,,Florida State University,,,,,,,,
Dave DeBusschere,3633,16/10/1940,1963,1974,F-G,6,6,198.12,195.12,,,,,,,220,99.7903214,,University of Detroit Mercy,,,,,,,,
Dave Deutsch,3634,13/05/1945,1967,1967,G,6,1,185.42,182.42,,,,,,,170,77.1107029,,University of Rochester,,,,,,,,
Dave Fedor,3635,10/12/1940,1963,1963,F,6,6,198.12,195.12,,,,,,,190,86.1825503,,Florida State University,,,,,,,,
Dave Feitl,3636,08/06/1962,1987,1992,C,6,11,210.82,207.82,,,,,,,235,106.594207,,University of Texas at El Paso,,,,,,,,
Dave Gambee,3637,16/04/1937,1959,1970,F,6,6,198.12,195.12,,,,,,,215,97.52235955,,Oregon State University,,,,,,,,
Dave Greenwood,3638,27/05/1957,1980,1991,F-C,6,9,205.74,202.74,,,,,,,222,100.6975061,,"University of California, Los Angeles",,,,,,,,
Dave Gunther,3639,22/07/1937,1963,1963,F,6,7,200.66,197.66,,,,,,,190,86.1825503,,University of Iowa,,,,,,,,
Dave Henderson,3640,21/07/1964,1988,1988,G,6,5,195.58,192.58,,,,,,,195,88.45051215,,Duke University,,,,,,,,
Dave Hoppen,3641,13/03/1964,1988,1993,C-F,6,11,210.82,207.82,,,,,,,235,106.594207,,University of Nebraska,,,,,,,,
Dave Jamerson,3642,13/08/1967,1991,1994,G-F,6,5,195.58,192.58,,,,,,,190,86.1825503,,Ohio University,,,,,,,,
Dave Johnson,3643,16/11/1970,1993,1994,G-F,6,7,200.66,197.66,,,,,,,210,95.2543977,,Syracuse University,,,,,,,,
Dave Lattin,3644,23/12/1943,1968,1973,F-C,6,6,198.12,195.12,,,,,,,225,102.0582833,,University of Texas at El Paso,,,,,,,,
Dave Magley,3645,24/11/1959,1983,1983,F,6,8,203.2,200.2,,,,,,,202,91.62565874,,University of Kansas,,,,,,,,
Dave Meyers,3646,21/04/1953,1976,1980,F-C,6,8,203.2,200.2,,,,,,,215,97.52235955,,"University of California, Los Angeles",,,,,,,,
Dave Minor,3647,23/02/1922,1952,1953,G-F,6,2,187.96,184.96,,,,,,,185,83.91458845,,"University of California, Los Angeles",,,,,,,,
Dave Newmark,3648,11/09/1946,1969,1971,C,7,0,213.36,210.36,,,,,,,240,108.8621688,,Columbia University,,,,,,,,
Dave Piontek,3649,27/08/1934,1957,1963,F-C,6,6,198.12,195.12,,,,,,,230,104.3262451,,Xavier University,,,,,,,,
Dave Popson,3650,17/05/1964,1989,1992,F-C,6,10,208.28,205.28,,,,,,,220,99.7903214,,University of North Carolina,,,,,,,,
Dave Robisch,3651,22/12/1949,1972,1984,C-F,6,10,208.28,205.28,,,,,,,235,106.594207,,University of Kansas,,,,,,,,
Dave Schellhase,3652,14/10/1944,1967,1968,G,6,3,190.5,187.5,,,,,,,205,92.98643585,,Purdue University,,,,,,,,
Dave Scholz,3653,12/04/1948,1970,1970,F,6,8,203.2,200.2,,,,,,,220,99.7903214,,University of Illinois at Urbana-Champaign,,,,,,,,
Dave Sorenson,3654,08/07/1948,1971,1973,F,6,8,203.2,200.2,,,,,,,225,102.0582833,,Ohio State University,,,,,,,,
Dave Stallworth,3655,20/12/1941,1966,1975,F-C,6,7,200.66,197.66,,,,,,,200,90.718474,,Wichita State University,,,,,,,,
Dave Twardzik,3656,20/09/1950,1973,1980,G,6,1,185.42,182.42,,,,,,,175,79.37866475,,Old Dominion University,,,,,,,,
Dave Wohl,3657,02/11/1949,1972,1978,G,6,2,187.96,184.96,,,,,,,185,83.91458845,,University of Pennsylvania,,,,,,,,
Dave Zeller,3658,08/06/1939,1962,1962,G,6,1,185.42,182.42,,,,,,,175,79.37866475,,Miami University,,,,,,,,
David Benoit,3659,09/05/1968,1992,2001,F,6,8,203.2,200.2,,,,,,,220,99.7903214,,University of Alabama,,,,,,,,
David Burns,3660,03/07/1958,1982,1982,G,6,2,187.96,184.96,,,,,,,180,81.6466266,,Saint Louis University,,,,,,,,
David Bustion,3661,30/08/1949,1973,1973,F,6,8,203.2,200.2,,,,,,,215,97.52235955,,University of Denver,,,,,,,,
David Cooke,3662,27/09/1963,1986,1986,F,6,8,203.2,200.2,,,,,,,230,104.3262451,,Saint Mary's College of California,,,,,,,,
David Gaines,3663,27/02/1942,1968,1968,G,6,1,185.42,182.42,,,,,,,170,77.1107029,,LeMoyne-Owen College,,,,,,,,
David Graves,3664,,,,SG,6,6,198,195,201,257,,,,0,212,96.16158244,,,11.2,,3.27,26,29.5,8,66.04,
David Lee Sr.,3665,31/03/1942,1968,1969,F,6,7,200.66,203,213.36,270.51,,,,0,225,104.0994489,,University of San Francisco,,,,,,,,
David Lucas,3666,,,,PF,6,8,203,199,213,263,,,,0,233.4,105.8684592,,,,,,,,17,,
David Pope,3667,15/04/1962,1985,1986,F,6,7,200.66,197.66,,,,,,,220,99.7903214,,Norfolk State University,,,,,,,,
David Rivers,3668,20/01/1965,1989,1992,G,6,0,182.88,179.88,,,,,,,170,77.1107029,,University of Notre Dame,,,,,,,,
David Robinson,3669,06/08/1965,1990,2003,C,7,1,215.9,212.9,,,,,,,235,106.594207,,United States Naval Academy,,,,,,,,
David Simon,3670,,,,PF,6,9,206,203,222,274,,,,0,258.8,117.3897054,,,11.98,,3.44,28,33,18,71.12,83.82
David Thirdkill,3671,12/04/1960,1983,1987,F-G,6,7,200.66,197.66,,,,,,,195,88.45051215,,Bradley University,,,,,,,,
David Thompson,3672,13/07/1954,1976,1984,G-F,6,4,193.04,190.04,,,,,,,195,88.45051215,,North Carolina State University,,,,,,,,
David Vanterpool,3673,31/03/1973,2001,2001,G,6,5,195.58,192.58,,,,,,,200,90.718474,,St. Bonaventure University,,,,,,,,
David Vaughn,3674,,1996,1999,F,6,9,205.74,202.74,,,,,,,240,108.8621688,,University of Memphis,,,,,,,,
David Vaughn Sr.,3675,04/06/1952,1975,1976,C,6,11,210.82,207.82,,,,,,,220,99.7903214,,Oral Roberts University,,,,,,,,
